,Rxn description,Formula,gene-reaction association,gene,Proteins,Subsystem,Reversible,LB,UB,Objective,Confidence Score,EC Number,Notes,References
acylpg_prod2,acylpg production,apg140_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acylpg_prod3,acylpg production,apg141_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acylpg_prod4,acylpg production,apg160_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acylpg_prod5,acylpg production,apg161_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acylpg_prod6,acylpg production,apg180_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acylpg_prod7,acylpg production,apg181_c -> all_apg_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
dgl_prod1,diglyceride production,dag_c -> all_dgl_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
GAT_c,glyceride acyl transferase,dag_c + acoa_c -> coa_c + tag_c,(PFC0995c),PFC0995c,,Lipids LipidProduction,0,0,1000,0,,2.3.1.20,previously PAPA120:PAP180,"Plasmodb;  doi: 10.1242/jcs.00988, 10.1016/j.molbiopara.2003.08.017"
acoa_prod1,acyl coa production,btcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod2,acyl coa production,aacoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod3,acyl coa production,accoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod4,acyl coa production,dcacoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod5,acyl coa production,ddcacoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod6,acyl coa production,hdcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,doi: 10.1016/j.molbiopara.2003.08.017
acoa_prod7,acyl coa production,hxcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod8,acyl coa production,malcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod9,acyl coa production,occoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod10,acyl coa production,ocdycacoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod11,acyl coa production,odecoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,"doi: 10.1242/jcs.00988, 10.1016/j.molbiopara.2003.08.017"
acoa_prod12,acyl coa production,pmtcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod13,acyl coa production,ppcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod14,acyl coa production,stcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod15,acyl coa production,tdcoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
acoa_prod16,acyl coa production,tdecoa_c -> acoa_c,,,,Lipids LipidProduction,0,0,1000,0,,,,
Protein,Protein production,0.1364 alatrna_c + 0.1349 argtrna_c + 0.6245 asntrna_c + 0.2994 asptrna_c + 0.0674 cystrna_c + 0.1353 glntrna_c + 0.3505 glutrna_c + 0.1827 glytrna_c +  0.1063 histrna_c + 0.3566 iletrna_c + 0.3405 leutrna_c + 0.5124 lystrna_c + 0.1019 mettrna_c + 0.1823 phetrna_c + 0.1085 protrna_c + 0.3055 sertrna_c + 0.2045 thrtrna_c + 0.02095 trptrna_c + 0.1379 tyrtrna_c + 0.203 valtrna_c  + 0.1 fmettrna_c -> protein_c,,,,AminoAcids ProteinProduction,0,0,1000,0,,,"t-RNA ligated amino acids for protein production and ultimately biomass production; ratios from original Plata, et al. 2010; added fmettrna",
Protein_t,protein transport,protein_c -> protein_e,,,,Transport e,0,0,1000,0,,,,
Protein_ex,protein export,protein_e ->,,,,Exchange,0,0,1000,0,,,,
Lipid_prod,Lipid Production,35 pc_c + 18 pe_c + 4.25 pi_c + 1.5 pg_c + 0.2 apg_c + 14 sphmyln_c + 4 dag_c + 1.5 tag_c + 0.519 chsterol_c -> lipid_c,,,,Lipids LipidProduction,0,0,1000,0,,,Lipid groups obtained from Gulati et al. (if infected RBC contained more than RBC; approximate ratios from figure 1),DOI: 10.1016/j.com.2015.08.003
Lipid_ex,Lipid Exchange,lipid_c ->,,,,Exchange,0,0,1000,0,,,,
biomass,biomass,0.003 gthox_c + 0.087 gthrd_c + 0.01 mal_L_c + 0.01 lac_L_e + 0.01 akg_c + 0.1 protein_c + 0.1 lipid_c + 0.000223 10fthf_c + 0.000223 2ohph_m + 0.1364 ala_L_c + 0.000223 amet_c + 0.1349 arg_L_c + 0.6245 asn_L_c + 0.2994 asp_L_c + 60.01 atp_c + 0.000576 coa_c + 0.0437 ctp_c + 0.0674 cys_L_c + 0.02721 datp_c + 0.00655 dctp_c + 0.00655 dgtp_c + 0.02721 dttp_c + 0.000223 fad_c + 0.007106 fe2_c + 0.007106 fe3_c + 0.1353 gln_L_c + 0.3505 glu_L_c + 0.1827 gly_c + 0.06241 gtp_c + 54.462 h2o_c + 0.1063 his_L_c + 0.3566 ile_L_c + 0.3405 leu_L_c + 0.5124 lys_L_c + 0.1019 met_L_c + 0.000223 mlthf_c + 0.001831 nad_c + 0.000447 nadp_c + 0.011843 nh4_c + 0.1823 phe_L_c + 0.000223 pheme_m + 0.1085 pro_L_c + 0.0479 ptrc_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.3055 ser_L_c + 0.003948 so4_c + 0.00959 spmd_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.2045 thr_L_c + 0.02095 trp_L_c + 0.1379 tyr_L_c + 0.2219 utp_c + 0.203 val_L_c + 0.1 hemozoin_e -> 59.81 adp_c + 59.81 h_c + 59.806 pi_c + 0.7739 ppi_c + 1 biomass_c,,,,Biomass,0,0,1000,1,,,"Added 0.001 trna-ligated AA, hemozoin, lipids, and constituatively detected metabites from metabolomics; glutathione as 90% protein and keeping GSH:GSSG at 30:1","doi:10.1016/j.chom.2009.01.004,10.1016/j.aca.2012.06.016, 10.1074/jbc.M807085200, 10.1002/nbm.1323, 10.1016/j.com.2015.08.003,  10.3390/molecules200610511"
biomass_s,biomass sink,biomass_c ->,,,,Exchange,0,0,1000,0,,,, 
