Rxn id,Rxn description,Formula,Gene-reaction association,Genes,Proteins,Subsystem,Reversible,LB,UB,Objective,Confidence Score,EC Number,Notes,References,,,
AXST_ex,Xlinked protein exchange,Asn_X_Ser/Thr_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
AXST_t,Xlinked protein transport,Asn_X_Ser/Thr_e <=> Asn_X_Ser/Thr_c,,,,Transport e,1,-1000,1000,0,,,,,,,
citrul_ex,citruline export,citrul_c =>,,,,Export,0,0,1000,0,,,No urea cycle; cannot be consumed,DOI:�http://dx.doi.org/10.1016/j.celrep.2015.03.011,,,
anth_ex,anthranilate export,anth_c => ,,,,Export,0,0,1000,0,,,Unknown removal,MPMP,,,
hcys_ex,homocystein exchange,hcys_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
uri_gf,uri gap filled,uri_c + atp_c => adp_c + ump_c,,,,Nucleotides PyrimidineMetabolism,0,0,1000,0,,,Added with no genetic evidence (gap filled),,,,
SBTR,aldehyde reductase,glc_D_c + h_c + nadp_c => nadph_c + sbt_D_c,(MAL13P1_324),MAL13P1_324,,Carbohydrates PyruvateMetabolism ; Carbohydrates Glycolysis,0,0,1000,0,,1.1.1.21,not reversible; nadph on wrong side,MPMP; PlasmoDB,,,ELSEWHERE
LALDO2x,aldehyde reductase,h_c + mthgxl_c + nadph_c <=> lald_D_c + nadp_c,(MAL13P1_324),MAL13P1_324,,Carbohydrates PyruvateMetabolism ; Carbohydrates Glycolysis,1,-1000,1000,0,,1.1.1.21,Reversible,,,,
mthgxl_s,spontaneous mthgxl production,dhap_c => mthgxl_c,,,,Spontaneous,0,0,1000,0,,,Spontaneous,,,,
mthgxl_ex,mthgxl exchange,mthgxl_e <=>,,,,Exchange,1,-1000,1000,0,,,,,,,
ACP1,acid phosphatase,fmn_c + h2o_c => pi_c + ribflv_c,(PFI0880c) or (PF14_0282) or (PF14_0036),PFI0880c PF14_0282 PF14_0036,,Cofactors RiboflavinMetabolism,0,0,1000,0,,3.1.3.2,Added 2 genes,"MPMP, PlasmoDb",,,
THZPSN_mt,cysteine desulfurase,cys_L_m + dxyl5p_m + tyr_L_m => 4hba_m + 4mhetz_m + ala_L_m + co2_m,((MAL7P1_150) or (PF07_0068)) and ((PF13_0182) or (PF13_0344)),MAL7P1_150 PF07_0068 PF13_0182 PF13_0344,,Cofactors ThiamineMetabolism,0,0,1000,0,,2.8.1.7,added 2 genes,MPMP,,,
MAN1PT,mannose-1-phosphate guanylyltransferase,gtp_c + h_c + man1p_c => gdpmann_c + ppi_c,(PF14_0774) or (PFL0675c),PF14_0774 PFL0675c,,Carbohydrates MannoseFructoseMetabolism,0,0,1000,0,,2.7.7.13,added 2nd gene,"MPMP, uni dir?",,,
GALUi,UTP-glucose-1-phosphate uridylyltransferase,g1p_c + h_c + utp_c => ppi_c + udpg_c,(MAL13P1_218) or (PFE0875c),MAL13P1_218 PFE0875c,,Lipids SphingomyelinCeramideMetabolism,0,0,1000,0,,2.7.7.9,added 2nd gene,PlasmoDb,,,
DMQMT_mt,DMQMT mt,2omhmbl_m + amet_m => ahcys_m + h_m + q8h2_m,(MAL7P1_130) or (PFI0815c),MAL7P1_130 PFI0815c,,Cofactors UbiquinoneMetabolism,0,0,1000,0,,2.1.1.64,Added 2nd gene (irrev.),MPMP,,,
OHPHM_mt,3-demethylubiquinone-9 3-O-methyltransferase,2ohph_m + amet_m => 2omph_m + ahcys_m + h_m,(MAL7P1_130) or (PFI0815c),MAL7P1_130 PFI0815c,,Cofactors UbiquinoneMetabolism,0,0,1000,0,,2.1.1.64,Added 2nd gene (irrev.),MPMP,,,
HETZK,hydroxyethylthiazole kinase,4mhetz_c + atp_c => 4mpetz_c + adp_c + h_c,(PFF1335c) or (PFL1920c) or (PF11_0453),PFF1335c PFL1920c PF11_0453,,Cofactors ThiamineMetabolism,0,0,1000,0,,2.7.1.50,Added 3rd gene,MPMP,,,
UDCPDPS,UDCPDPS,frdp_c + 8 ipdp_c => 8 ppi_c + udcpdp_c,(MAL8P1_22),MAL8P1_22,,Lipids TerpenoidMetabolism,0,0,1000,0,,2.5.1.31,added EC and gene,"Expasy, MPMP",,,
OCTDPS,OCTDPS,frdp_c + 5 ipdp_c => octdp_c + 5 ppi_c,(PFB0130w),PFB0130w,,Lipids TerpenoidMetabolism,0,0,1000,0,,2.5.1.90,added EC and gene,"Expasy, DOI: 10.1042/BJ20050441",,,
OMBZLM_mt,OMBZLM mt,2ombzl_m + amet_m => 2ommbl_m + ahcys_m + h_m,(PFB0220w) or (PFD0350w),PFB0220w PFD0350w,,Cofactors UbiquinoneMetabolism,0,0,1000,0,,2.1.1.201,"Added EC, second gene (irrev.)",MPMP,,,
NADK,NAD+ kinase,atp_c + nad_c => adp_c + h_c + nadp_c,(PFI0650c),PFI0650c,,Cofactors NicotinateNicotinamideMetabolism,0,0,1000,0,,2.7.1.23,added gene,"MPMP, PlasmoDB",,,
DSAT,sphingosine N-acyltransferase,Rtotalcoa_c + sphgn_c => coa_c + dhcrm_c + h_c,(PFE0405c) or (PF14_0034),PFE0405c PF14_0034,,Lipids SphingomyelinCeramideMetabolism,0,0,1000,0,,2.3.1.24,added gene,MPMP,,,
PYK,pyruvate kinase,adp_c + h_c + pep_c => atp_c + pyr_c,(PFF1300w),PFF1300w,,Carbohydrates Glycolysis ; Carbohydrates PyruvateMetabolism ; Lipids IsoprenoidsMetabolism ; Lipids FattyAcidSynthesis,0,0,1000,0,,2.7.1.40,Added gene,MPMP,,,
HYPOE,pyridoxal phosphatase,h2o_c + pyam5p_c => pi_c + pydam_c,(PF07_0059),PF07_0059,,Cofactors VitB6Metabolism,0,0,1000,0,,3.1.3.41,"added gene, changed EC",MPMP; PlasmoDb,,,
PDXPP,pyridoxal phosphatase,h2o_c + pdx5p_c => pi_c + pydxn_c,(PF07_0059),PF07_0059,,Cofactors VitB6Metabolism,0,0,1000,0,,3.1.3.41,"added gene, changed EC",MPMP; PlasmoDb,,,
PYDXPP,pyridoxal phosphatase,h2o_c + pydx5p_c => pi_c + pydx_c,(PF07_0059),PF07_0059,,Cofactors VitB6Metabolism,0,0,1000,0,,3.1.3.41,"added gene, changed EC",MPMP; PlasmoDb,,,
LYSDC,Lysine decarboxylase,h_c + lys_L_c => 15dap_c + co2_c,(PFD0285c) or (PFD0670c),PFD0285c PFD0670c,,AminoAcids LysMetabolism,0,0,1000,0,,4.1.1.18,added second gene,MPMP,,,
ADNCYC,adenylate cyclase,atp_c => camp_c + ppi_c,(PF14_0788) or (MAL8P1.150),PF14_0788 MAL8P1.150,,Nucleotides PurineMetabolism,0,0,1000,0,,4.6.1.1,Added second gene (irrev.),MPMP,,,
ARGTRS,Arginine-tRNA ligase,arg_L_c + atp_c + trnaarg_c => amp_c + argtrna_c + ppi_c,(PFL0900c) or (PFI0680c),PFL0900c PFI0680c,,AminoAcids ArgProMetabolism ; AminoAcids tRNA,0,0,1000,0,,6.1.1.19,Added second gene; trna annotation,MPMP,,,
PGM,Phosphoglycerate mutase,2pg_c <=> 3pg_c,(PF11_0208) or (PFD0660w) or (PFC0430w),PF11_0208 PFD0660w PFC0430w,,Carbohydrates Glycolysis,1,-1000,1000,0,,5.4.2.1,added third gene (rev.),MPMP,,,
DHCRD1,DHCRD1,dhcrm_c + nadp_c + 0.5 o2_c => crm_c + h_c + nadph_c + h2o_c,,,,Lipids SphingomyelinCeramideMetabolism,0,0,1000,0,,1.14.-.-,"added EC, and o2, H2o",MPMP,,,
DHCRD2,DHCRD2,dhcrm_c + fad_c + 0.5 o2_c => crm_c + fadh2_c + h2o_c,,,,Lipids SphingomyelinCeramideMetabolism,0,0,1000,0,,1.14.-.-,"added EC, and o2, H2o",MPMP,,,
PDX5POi,pyridoxal 5'-phosphate synthase,o2_c + h2o_c + pdx5p_c => h2o2_c + pydx5p_c,(PF14_0570),PF14_0570,,Cofactors VitB6Metabolism,0,0,1000,0,,1.4.3.5,added h2o,MPMP,,,
THD2pp,NAD(P)+ transhydrogenase (B-specific),2 h_c + nadh_c + nadp_c => 2 h_c + nad_c + nadph_c,(PF14_0508),PF14_0508,,Cofactors NicotinateNicotinamideMetabolism,0,0,1000,0,,1.6.1.1,chanced h_e to h_c,KEGG,,,
PPA2,inorganic diphosphatase,h2o_c + pppi_c => h_c + pi_c + ppi_c,(PF14_0541) or (PFC0710w),PF14_0541 PFC0710w,,Nucleotides PurineMetabolism ; Lipids TerpenoidMetabolism,0,0,1000,0,,3.6.1.1,diphosphate to two phosphates,,,,
HBZOPT_mt,HBZOPT mt,4hbz_m + octdp_m => 3ophb_m + 2 ppi_m,(PFF0370w),PFF0370w,,Cofactors UbiquinoneMetabolism,0,0,1000,0,,2.5.1.39,"EC change, add phosphate",MPMP,,,
GLUDxi,glutamate dehydrogenase,glu_L_c + h2o_c + nad_c => akg_c + nadh_c + nh3_c,(PF08_0132),PF08_0132,,AminoAcids GluMetabolism ; AminoAcids NitrogenMetabolism,0,0,1000,0,,1.4.1.2,removed extra H,expasy,,,
GLUDy,glutamate dehydrogenase (NADP+),glu_L_c + h2o_c + nadp_c <=> akg_c + nadph_c + nh3_c,(PF14_0164),PF14_0164,,AminoAcids GluMetabolism ; AminoAcids NitrogenMetabolism,1,-1000,1000,0,,1.4.1.4,removed extra H,MPMP,,,
GLUDy_ap,glutamate dehydrogenase (NADP+),glu_L_ap + h2o_ap + nadp_ap <=> akg_ap + nadph_ap + nh3_ap,(PF14_0286),PF14_0286,,AminoAcids GluMetabolism ; AminoAcids NitrogenMetabolism,1,-1000,1000,0,,1.4.1.4,removed extra H,MPMP,,,
GLCNACPT,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase,0.1 dolp_c + uacgam_c => 0.1 naglc2p_L_c + ump_c,(PFC0935c),PFC0935c,,Carbohydrates AminosugarsMetabolism,0,0,1000,0,,2.7.8.15,replaced dolp_L with dolp,,,,
DOLDPP,dolichyldiphosphatase,0.1 doldp_L_c + h2o_c => 0.1 dolp_c + h_c + pi_c,(MAL8P1_202),MAL8P1_202,,Lipids DolicholMetabolism,0,0,1000,0,,3.6.1.43,replaced dolp_L with dolp,,,,
DOLPMT1,dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase,0.1 dolmanp_L_c + 0.1 m4mpdol_L_c => 0.1 dolp_c + h_c + 0.1 m5mpdol_L_c,(MAL13P1_210),MAL13P1_210,,Lipids GPIAnchorBiosynthesis ; Lipids DolicholMetabolism,0,0,1000,0,,2.4.1.130,replaced dolp_L with dolp,,,,
